"","LGA","Quarter","Rent_1_bedroom","Rent_2_bedroom","Rent_3_bedroom","Rent_4_bedroom"
"233","GREATER SYDNEY","Mar.09","355","390",390,"500"
"234","Inner Ring","Mar.09","390","500",680,"900"
"235","Ashfield","Mar.09","290","355.5",485,"680"
"236","Botany Bay","Mar.09","267.5","340",550,"-"
"237","Lane Cove","Mar.09","325","400",595,"940"
"238","Leichhardt","Mar.09","350","520",670,"890"
"239","Marrickville","Mar.09","280","400",545,"675"
"240","Mosman","Mar.09","380","500",850,"1300"
"241","North Sydney","Mar.09","390","500",700,"950"
"242","Randwick","Mar.09","370","452.5",645,"850"
"243","Sydney","Mar.09","420","550",715,"750"
"244","Waverley","Mar.09","400","530",790,"1300"
"245","Woollahra","Mar.09","400","550",882.5,"1200"
"246","Middle Ring","Mar.09","330","370",450,"600"
"247","Auburn","Mar.09","365","365",405,"515"
"248","Bankstown","Mar.09","180","320",380,"450"
"249","Burwood","Mar.09","285","400",497.5,"630"
"250","Canterbury","Mar.09","230","300",430,"500"
"251","Canada Bay","Mar.09","420","480",590,"675"
"252","Hunters Hill","Mar.09","290","450",585,"-"
"253","Hurstville","Mar.09","250","350",440,"560"
"254","Kogarah","Mar.09","320","365",450,"525"
"255","Ku-Ring-Gai","Mar.09","335","485",620,"890"
"256","Manly","Mar.09","400","540",740,"1200"
"257","Parramatta","Mar.09","260","340",387.5,"470"
"258","Rockdale","Mar.09","325","365",450,"550"
"259","Ryde","Mar.09","270","360",500,"575"
"260","Strathfield","Mar.09","310","400",495,"580"
"261","Willoughby","Mar.09","430","500",700,"1000"
"262","Outer Ring","Mar.09","225","300",330,"450"
"263","The Hills Shire","Mar.09","230","372.5",420,"550"
"264","Blacktown","Mar.09","180","290",320,"425"
"265","Blue Mountains","Mar.09","190","240",280,"380"
"266","Camden","Mar.09","205","280",340,"430"
"267","Campbelltown","Mar.09","220","235",290,"360"
"268","Fairfield","Mar.09","185","250",340,"400"
"269","Gosford","Mar.09","165","250",315,"400"
"270","Hawkesbury","Mar.09","-","240",300,"395"
"271","Holroyd","Mar.09","217.5","320",360,"450"
"272","Hornsby","Mar.09","330","390",450,"575"
"273","Liverpool","Mar.09","187.5","250",350,"430"
"274","Penrith","Mar.09","185","230",300,"380"
"275","Pittwater","Mar.09","295","450",600,"850"
"276","Sutherland Shire","Mar.09","260","350",470,"590"
"277","Warringah","Mar.09","330","440",640,"780"
"278","Wollondilly","Mar.09","-","220",280,"380"
"279","Wyong","Mar.09","155","230",275,"350"
"280","Rest of GMR","Mar.09","165","250",300,"370"
"281","Cessnock","Mar.09","160","200",250,"322.5"
"282","Kiama","Mar.09","-","250",340,"420"
"283","Lake Macquarie","Mar.09","168","255",300,"395"
"284","Maitland","Mar.09","150","230",280,"350"
"285","Newcastle","Mar.09","170","280",330.5,"360"
"286","Port Stephens","Mar.09","150","220",275,"340"
"287","Shellharbour","Mar.09","160","210",300,"400"
"288","Wollongong","Mar.09","160","255",325,"440"
"289","Rest of NSW","Mar.09","140","185",250,"320"
"290","New South Wales","Mar.09","300","320",320,"400"
"291","GREATER SYDNEY","Jun.09","360","390",390,"500"
"292","Inner Ring","Jun.09","400","500",690,"950"
"293","Ashfield","Jun.09","290","360",527.5,"555"
"294","Botany Bay","Jun.09","300","380",525,"700"
"295","Lane Cove","Jun.09","350","385",550,"990"
"296","Leichhardt","Jun.09","380","520",650,"925"
"297","Marrickville","Jun.09","290","400",550,"675"
"298","Mosman","Jun.09","370","475",765,"1950"
"299","North Sydney","Jun.09","390","500",700,"1015"
"300","Randwick","Jun.09","380","460",650,"950"
"301","Sydney","Jun.09","420","575",727.5,"837.5"
"302","Waverley","Jun.09","400","500",750,"1025"
"303","Woollahra","Jun.09","400","550",880,"1750"
"304","Middle Ring","Jun.09","330","370",450,"600"
"305","Auburn","Jun.09","360","370",400,"500"
"306","Bankstown","Jun.09","210","320",380,"470"
"307","Burwood","Jun.09","277.5","400",540,"580"
"308","Canterbury","Jun.09","225","300",430,"500"
"309","Canada Bay","Jun.09","400","485",600,"650"
"310","Hunters Hill","Jun.09","355","450",687.5,"920"
"311","Hurstville","Jun.09","280","350",450,"550"
"312","Kogarah","Jun.09","280","350",470,"600"
"313","Ku-Ring-Gai","Jun.09","370","460",622.5,"827.5"
"314","Manly","Jun.09","390","510",755,"1200"
"315","Parramatta","Jun.09","280","350",390,"470"
"316","Rockdale","Jun.09","305","370",470,"600"
"317","Ryde","Jun.09","275","360",485,"600"
"318","Strathfield","Jun.09","325","400",500,"-"
"319","Willoughby","Jun.09","440","510",690,"945"
"320","Outer Ring","Jun.09","235","300",330,"450"
"321","The Hills Shire","Jun.09","277.5","380",430,"570"
"322","Blacktown","Jun.09","200","285",320,"440"
"323","Blue Mountains","Jun.09","190","242.5",290,"360"
"324","Camden","Jun.09","-","280",340,"450"
"325","Campbelltown","Jun.09","210","250",300,"395"
"326","Fairfield","Jun.09","200","250",340,"410"
"327","Gosford","Jun.09","175","250",320,"410"
"328","Hawkesbury","Jun.09","182.5","245",320,"420"
"329","Holroyd","Jun.09","200","320",367.5,"430"
"330","Hornsby","Jun.09","320","380",450,"577.5"
"331","Liverpool","Jun.09","190","260",350,"440"
