"","LGA","Quarter","Rent_1_bedroom","Rent_2_bedroom","Rent_3_bedroom","Rent_4_bedroom"
"2077","Wyong","Dec.16","250","330",395,"490"
"2078","Rest of GMR","Dec.16","245","350",410,"480"
"2079","Cessnock","Dec.16","197.5","270",315,"390"
"2080","Kiama","Dec.16","-","420",480,"600"
"2081","Lake Macquarie","Dec.16","230","340",390,"480"
"2082","Maitland","Dec.16","200","290",350,"410"
"2083","Newcastle","Dec.16","250","375",430,"500"
"2084","Port Stephens","Dec.16","235","300",370,"480"
"2085","Shellharbour","Dec.16","230","330",452.5,"580"
"2086","Wollongong","Dec.16","260","370",480,"620"
"2087","Rest of NSW","Dec.16","195","260",330,"405"
"2088","New South Wales","Dec.16","450","450",440,"550"
"2089","GREATER SYDNEY","Mar.17","484","530",540,"640"
"2090","Inner Ring","Mar.17","530","700",925,"1300"
"2091","Ashfield","Mar.17","410","500",750,"800"
"2092","Botany Bay","Mar.17","562.5","670",795,"1000"
"2093","Lane Cove","Mar.17","525","590",800,"1400"
"2094","Leichhardt","Mar.17","492.5","705",950,"1162.5"
"2095","Marrickville","Mar.17","445","580",830,"1100"
"2096","Mosman","Mar.17","500","660",1200,"1975"
"2097","North Sydney","Mar.17","510","695",1000,"1500"
"2098","Randwick","Mar.17","520","650",850,"1250"
"2099","Sydney","Mar.17","550","760",1020,"1230"
"2100","Waverley","Mar.17","600","775",1080,"1800"
"2101","Woollahra","Mar.17","500","740",1200,"2125"
"2102","Middle Ring","Mar.17","465","510",620,"770"
"2103","Auburn","Mar.17","460","530",555,"650"
"2104","Bankstown","Mar.17","300","420",530,"650"
"2105","Burwood","Mar.17","432.5","580",720,"855"
"2106","Canterbury","Mar.17","420","420",600,"730"
"2107","Canada Bay","Mar.17","535","650",790,"950"
"2108","Hunters Hill","Mar.17","450","622.5",870,"-"
"2109","Hurstville","Mar.17","425","470",590,"727.5"
"2110","Kogarah","Mar.17","415","480",600,"800"
"2111","Ku-Ring-Gai","Mar.17","500","640",820,"1225"
"2112","Manly","Mar.17","600","750",1200,"1580"
"2113","Parramatta","Mar.17","410","470",537.5,"650"
"2114","Rockdale","Mar.17","497.5","537.5",640,"790"
"2115","Ryde","Mar.17","460","495",670,"810"
"2116","Strathfield","Mar.17","450","530",620,"835"
"2117","Willoughby","Mar.17","560","665",950,"1300"
"2118","Outer Ring","Mar.17","350","420",455,"585"
"2119","The Hills Shire","Mar.17","420","520",600,"700"
"2120","Blacktown","Mar.17","290","380",440,"590"
"2121","Blue Mountains","Mar.17","260","370",450,"550"
"2122","Camden","Mar.17","310","390",460,"540"
"2123","Campbelltown","Mar.17","290","360",410,"500"
"2124","Fairfield","Mar.17","270","350",460,"550"
"2125","Gosford","Mar.17","280","367.5",450,"595"
"2126","Hawkesbury","Mar.17","260","350",440,"550"
"2127","Holroyd","Mar.17","345","420",500,"630"
"2128","Hornsby","Mar.17","425","500",625,"792.5"
"2129","Liverpool","Mar.17","297.5","370",475,"580"
"2130","Penrith","Mar.17","275","340",420,"540"
"2131","Pittwater","Mar.17","450","625",870,"1182.5"
"2132","Sutherland Shire","Mar.17","390","500",650,"800"
"2133","Warringah","Mar.17","480","615",850,"1200"
"2134","Wollondilly","Mar.17","220.41","350",430,"550"
"2135","Wyong","Mar.17","250","330",400,"490"
"2136","Rest of GMR","Mar.17","245","360",420,"480"
"2137","Cessnock","Mar.17","200","270",320,"390"
"2138","Kiama","Mar.17","-","387.5",500,"600"
"2139","Lake Macquarie","Mar.17","250","350",400,"480"
"2140","Maitland","Mar.17","200","295",345,"410"
"2141","Newcastle","Mar.17","230","380",440,"500"
"2142","Port Stephens","Mar.17","230","300",380,"470"
"2143","Shellharbour","Mar.17","-","347.5",450,"580"
"2144","Wollongong","Mar.17","275","390",500,"600"
"2145","Rest of NSW","Mar.17","195","265",330,"415"
"2146","New South Wales","Mar.17","450","465",446,"550"
"2147","GREATER SYDNEY","Jun.17","500","540",530,"650"
"2148","Inner Ring","Jun.17","550","720",975,"1350"
"2149","Ashfield","Jun.17","400","520",710,"845"
"2150","Botany Bay","Jun.17","580","660",850,"1000"
"2151","Lane Cove","Jun.17","520","592.5",850,"1472.5"
"2152","Leichhardt","Jun.17","480","712.5",950,"1250"
"2153","Marrickville","Jun.17","440","600",840,"1100"
"2154","Mosman","Jun.17","500","692.5",1175,"2000"
"2155","North Sydney","Jun.17","525","700",1025,"1432.5"
"2156","Randwick","Jun.17","510","650",900,"1350"
"2157","Sydney","Jun.17","580","795",1082.5,"1237.5"
"2158","Waverley","Jun.17","600","765",1200,"1790"
"2159","Woollahra","Jun.17","535","750",1295,"2200"
"2160","Middle Ring","Jun.17","480","525",630,"800"
"2161","Auburn","Jun.17","470","525",600,"650"
"2162","Bankstown","Jun.17","300","440",520,"680"
"2163","Burwood","Jun.17","440","587.5",700,"850"
"2164","Canterbury","Jun.17","392.5","420",610,"750"
"2165","Canada Bay","Jun.17","530","650",815,"1050"
"2166","Hunters Hill","Jun.17","-","580",1025,"1300"
"2167","Hurstville","Jun.17","405","490",600,"800"
"2168","Kogarah","Jun.17","420","500",620,"800"
"2169","Ku-Ring-Gai","Jun.17","500","650",850,"1200"
"2170","Manly","Jun.17","560","750",1170,"1610"
"2171","Parramatta","Jun.17","440","485",550,"680"
"2172","Rockdale","Jun.17","490","550",660,"850"
"2173","Ryde","Jun.17","490","520",670,"875"
"2174","Strathfield","Jun.17","450","520",650,"850"
"2175","Willoughby","Jun.17","580","672.5",950,"1462.5"
"2176","Outer Ring","Jun.17","352.5","420",450,"590"
"2177","The Hills Shire","Jun.17","440","510",600,"700"
"2178","Blacktown","Jun.17","280","380",440,"590"
"2179","Blue Mountains","Jun.17","290","372.5",450,"530"
"2180","Camden","Jun.17","330","385",460,"540"
"2181","Campbelltown","Jun.17","280","370",420,"500"
"2182","Fairfield","Jun.17","280","360",460,"600"
"2183","Gosford","Jun.17","280","370",450,"590"
"2184","Hawkesbury","Jun.17","280","350",450,"550"
"2185","Holroyd","Jun.17","370","430",500,"645"
"2186","Hornsby","Jun.17","430","530",630,"780"
"2187","Liverpool","Jun.17","340","400",475,"595"
"2188","Penrith","Jun.17","275","342.5",420,"540"
"2189","Pittwater","Jun.17","430","630",882.5,"1200"
"2190","Sutherland Shire","Jun.17","400","490",650,"810"
"2191","Warringah","Jun.17","495","610",850,"1150"
"2192","Wollondilly","Jun.17","280","340",425,"540"
"2193","Wyong","Jun.17","250","330",400,"490"
"2194","Rest of GMR","Jun.17","260","350",420,"480"
"2195","Cessnock","Jun.17","200","280",330,"395"
"2196","Kiama","Jun.17","-","415",530,"620"
"2197","Lake Macquarie","Jun.17","245","340",400,"495"
"2198","Maitland","Jun.17","200","290",360,"420"
"2199","Newcastle","Jun.17","270","380",430,"500"
"2200","Port Stephens","Jun.17","220","300",380,"480"
"2201","Shellharbour","Jun.17","-","340",460,"570"
"2202","Wollongong","Jun.17","280","380",500,"600"
"2203","Rest of NSW","Jun.17","200","265",330,"420"
"2204","New South Wales","Jun.17","465","475",450,"550"
