"","LGA","year","freq_daily","freq_less_weekly","freq_never","freq_weekly"
"287","Cobar","2014",8.4,28.2,30.3,33.1
"288","Cobar","2015",9.2,29.7,29.6,31.6
"289","Cobar","2016",10.5,29.6,25.4,34.6
"290","Cobar","2017",11.8,28.5,24.6,35.1
"291","Coffs Harbour","2008",14.6,19.2,28.6,37.6
"292","Coffs Harbour","2009",14.2,19.8,30,36.1
"293","Coffs Harbour","2010",12.6,21.7,28.8,36.9
"294","Coffs Harbour","2011",13.3,23.9,26,36.7
"295","Coffs Harbour","2012",14,21,28.5,36.5
"296","Coffs Harbour","2013",13.8,16.9,35.3,34
"297","Coffs Harbour","2014",13.6,19.7,35.2,31.4
"298","Coffs Harbour","2015",13.6,20.1,30.1,36.2
"299","Coffs Harbour","2016",12.8,19.6,27.1,40.6
"300","Coffs Harbour","2017",13.6,23.3,25.4,37.7
"301","Coolamon","2008",11.6,21.9,26.7,39.7
"302","Coolamon","2009",12.7,23,25.9,38.5
"303","Coolamon","2010",12.1,24.2,27.3,36.3
"304","Coolamon","2011",11,25.4,27.5,36.1
"305","Coolamon","2012",11,24.5,28.2,36.2
"306","Coolamon","2013",11.6,25.9,26.6,35.9
"307","Coolamon","2014",11.4,25.3,32.2,31.1
"308","Coolamon","2015",10.9,21.1,35.1,32.9
"309","Coolamon","2016",10,21.7,32.9,35.3
"310","Coolamon","2017",9.7,23,30.6,36.7
"311","Coonamble","2008",10.1,26.8,29.9,33.2
"312","Coonamble","2009",11.8,23.7,30.1,34.3
"313","Coonamble","2010",11.6,23.6,29.9,34.9
"314","Coonamble","2011",10.1,26.3,29.2,34.4
"315","Coonamble","2012",9.1,30,28.4,32.5
"316","Coonamble","2013",8.3,30.3,28.9,32.5
"317","Coonamble","2014",8.4,28.2,30.3,33.1
"318","Coonamble","2015",9.2,29.7,29.6,31.6
"319","Coonamble","2016",10.5,29.6,25.4,34.6
"320","Coonamble","2017",11.8,28.5,24.6,35.1
"321","Cowra","2008",10.1,26.8,29.9,33.2
"322","Cowra","2009",11.8,23.7,30.1,34.3
"323","Cowra","2010",11.6,23.6,29.9,34.9
"324","Cowra","2011",10.1,26.3,29.2,34.4
"325","Cowra","2012",9.1,30,28.4,32.5
"326","Cowra","2013",8.3,30.3,28.9,32.5
"327","Cowra","2014",8.4,28.2,30.3,33.1
"328","Cowra","2015",9.2,29.7,29.6,31.6
"329","Cowra","2016",10.5,29.6,25.4,34.6
"330","Cowra","2017",11.8,28.5,24.6,35.1
"331","Cumberland","2008",6,24.3,38.4,31.3
"332","Cumberland","2009",6.5,25,39.2,29.3
"333","Cumberland","2010",6.3,30.1,39.1,24.6
"334","Cumberland","2011",6.3,30.7,38.6,24.5
"335","Cumberland","2012",5.9,28.1,41.4,24.7
"336","Cumberland","2013",4.8,28.7,42.3,24.2
"337","Cumberland","2014",3.9,26.9,45.5,23.7
"338","Cumberland","2015",5.6,24.4,47.4,22.6
"339","Cumberland","2016",5.5,27.6,43.3,23.7
"340","Cumberland","2017",4.1,32.3,39.7,24
"341","Dungog","2008",11.7,22.4,30.5,35.4
"342","Dungog","2009",12.5,21.9,30.1,35.4
"343","Dungog","2010",12.3,22.3,31,34.4
"344","Dungog","2011",12.1,25,29.8,33.1
"345","Dungog","2012",11.7,27.8,25.2,35.3
"346","Dungog","2013",11,28.4,25.6,35
"347","Dungog","2014",9.4,27.4,28.5,34.7
"348","Dungog","2015",8.6,25.8,28,37.6
"349","Dungog","2016",8.3,24.3,27.7,39.6
"350","Dungog","2017",8.8,25,26.4,39.8
"351","Edward River","2008",11.6,21.9,26.7,39.7
"352","Edward River","2009",12.7,23,25.9,38.5
"353","Edward River","2010",12.1,24.2,27.3,36.3
"354","Edward River","2011",11,25.4,27.5,36.1
"355","Edward River","2012",11,24.5,28.2,36.2
"356","Edward River","2013",11.6,25.9,26.6,35.9
"357","Edward River","2014",11.4,25.3,32.2,31.1
"358","Edward River","2015",10.9,21.1,35.1,32.9
"359","Edward River","2016",10,21.7,32.9,35.3
"360","Edward River","2017",9.7,23,30.6,36.7
"361","Eurobodalla","2008",14.1,21.2,26.9,37.8
"362","Eurobodalla","2009",14.5,21.3,26.2,38
"363","Eurobodalla","2010",14.6,22.1,26.5,36.9
"364","Eurobodalla","2011",14.7,24.4,24.8,36.1
"365","Eurobodalla","2012",13.4,26.8,22.7,37.1
"366","Eurobodalla","2013",11.6,27.5,23.8,37.1
"367","Eurobodalla","2014",10,28.2,24.9,36.9
"368","Eurobodalla","2015",9.7,26.1,25.2,39
"369","Eurobodalla","2016",11.4,24.8,25.2,38.5
"370","Eurobodalla","2017",10.5,26.1,24.7,38.7
"371","Fairfield","2008",6.1,24.4,43.8,25.7
"372","Fairfield","2009",6.5,24.2,42.6,26.7
"373","Fairfield","2010",6.1,24.8,43.4,25.7
"374","Fairfield","2011",6,27.7,41.2,25.1
"375","Fairfield","2012",5.3,29.6,43.7,21.3
"376","Fairfield","2013",4.7,28.9,47.6,18.8
"377","Fairfield","2014",4.9,27.5,46.9,20.7
"378","Fairfield","2015",4.1,25.8,47.4,22.7
"379","Fairfield","2016",4.2,26.4,46.1,23.3
"380","Fairfield","2017",5,29.7,42.3,23
"381","Federation","2008",11.6,21.9,26.7,39.7
"382","Federation","2009",12.7,23,25.9,38.5
