LGA,YEAR,Unemployment_rate
Lockhart,2016,4
Lockhart,2017,-
Maitland,2011,5
Maitland,2012,-
Maitland,2013,-
Maitland,2014,-
Maitland,2015,-
Maitland,2016,7.3
Maitland,2017,-
Mid-Coast,2011,8.6
Mid-Coast,2012,-
Mid-Coast,2013,-
Mid-Coast,2014,-
Mid-Coast,2015,-
Mid-Coast,2016,9
Mid-Coast,2017,-
Mid-Western Regional,2011,5.7
Mid-Western Regional,2012,-
Mid-Western Regional,2013,-
Mid-Western Regional,2014,-
Mid-Western Regional,2015,-
Mid-Western Regional,2016,6.5
Mid-Western Regional,2017,-
Moree Plains,2011,6
Moree Plains,2012,-
Moree Plains,2013,-
Moree Plains,2014,-
Moree Plains,2015,-
Moree Plains,2016,6.4
Moree Plains,2017,-
Mosman,2011,3.7
Mosman,2012,-
Mosman,2013,-
Mosman,2014,-
Mosman,2015,-
Mosman,2016,3.9
Mosman,2017,-
Murray River,2011,4.3
Murray River,2012,-
Murray River,2013,-
Murray River,2014,-
Murray River,2015,-
Murray River,2016,3.7
Murray River,2017,-
Murrumbidgee,2011,3.4
Murrumbidgee,2012,-
Murrumbidgee,2013,-
Murrumbidgee,2014,-
Murrumbidgee,2015,-
Murrumbidgee,2016,4.5
Murrumbidgee,2017,-
Muswellbrook,2011,4.8
Muswellbrook,2012,-
Muswellbrook,2013,-
Muswellbrook,2014,-
Muswellbrook,2015,-
Muswellbrook,2016,8.1999999999999993
Muswellbrook,2017,-
Nambucca,2011,10.7
Nambucca,2012,-
Nambucca,2013,-
Nambucca,2014,-
Nambucca,2015,-
Nambucca,2016,9.4
Nambucca,2017,-
Narrabri,2011,5.4
Narrabri,2012,-
Narrabri,2013,-
Narrabri,2014,-
Narrabri,2015,-
Narrabri,2016,6
Narrabri,2017,-
Narrandera,2011,5.3
Narrandera,2012,-
Narrandera,2013,-
Narrandera,2014,-
Narrandera,2015,-
Narrandera,2016,6.1
Narrandera,2017,-
Narromine,2011,5.9
Narromine,2012,-
Narromine,2013,-
Narromine,2014,-
Narromine,2015,-
Narromine,2016,7.4
Narromine,2017,-
Newcastle,2011,5.7
Newcastle,2012,-
Newcastle,2013,-
Newcastle,2014,-
Newcastle,2015,-
Newcastle,2016,7.4
Newcastle,2017,-
North Sydney,2011,3.7
North Sydney,2012,-
North Sydney,2013,-
North Sydney,2014,-
North Sydney,2015,-
North Sydney,2016,3.7
North Sydney,2017,-
Northern Beaches,2011,3.5
Northern Beaches,2012,-
Northern Beaches,2013,-
Northern Beaches,2014,-
Northern Beaches,2015,-
Northern Beaches,2016,3.5
Northern Beaches,2017,-
Oberon,2011,4.8
Oberon,2012,-
Oberon,2013,-
Oberon,2014,-
Oberon,2015,-
Oberon,2016,5.8
Oberon,2017,-
Orange,2011,4.4000000000000004
Orange,2012,-
Orange,2013,-
Orange,2014,-
Orange,2015,-
Orange,2016,6.3
Orange,2017,-
Parkes,2011,4.9000000000000004
Parkes,2012,-
Parkes,2013,-
Parkes,2014,-
Parkes,2015,-
Parkes,2016,7.4
Parkes,2017,-
Parramatta,2011,5.9
Parramatta,2012,-
Parramatta,2013,-
Parramatta,2014,-
Parramatta,2015,-
Parramatta,2016,7
Parramatta,2017,-
Penrith,2011,5.5
Penrith,2012,-
Penrith,2013,-
Penrith,2014,-
Penrith,2015,-
Penrith,2016,5.7
Penrith,2017,-
Port Macquarie-Hastings,2011,6.9
Port Macquarie-Hastings,2012,-
Port Macquarie-Hastings,2013,-
Port Macquarie-Hastings,2014,-
Port Macquarie-Hastings,2015,-
Port Macquarie-Hastings,2016,6.8
Port Macquarie-Hastings,2017,-
Port Stephens,2011,6.2
Port Stephens,2012,-
Port Stephens,2013,-
Port Stephens,2014,-
Port Stephens,2015,-
Port Stephens,2016,7.2
Port Stephens,2017,-
Queanbeyan-Palerang Regional,2011,2.8
Queanbeyan-Palerang Regional,2012,-
Queanbeyan-Palerang Regional,2013,-
Queanbeyan-Palerang Regional,2014,-
Queanbeyan-Palerang Regional,2015,-
Queanbeyan-Palerang Regional,2016,4
Queanbeyan-Palerang Regional,2017,-
Randwick,2011,5.5
Randwick,2012,-
Randwick,2013,-
Randwick,2014,-
Randwick,2015,-
Randwick,2016,5.6
Randwick,2017,-
Richmond Valley,2011,8
Richmond Valley,2012,-
Richmond Valley,2013,-
Richmond Valley,2014,-
Richmond Valley,2015,-
Richmond Valley,2016,7.7
Richmond Valley,2017,-
Ryde,2011,5.7
Ryde,2012,-
Ryde,2013,-
Ryde,2014,-
Ryde,2015,-
Ryde,2016,6.3
Ryde,2017,-
Shellharbour,2011,6.7
Shellharbour,2012,-
Shellharbour,2013,-
Shellharbour,2014,-
Shellharbour,2015,-
Shellharbour,2016,6.9
Shellharbour,2017,-
Shoalhaven,2011,7.6
Shoalhaven,2012,-
Shoalhaven,2013,-
Shoalhaven,2014,-
Shoalhaven,2015,-
Shoalhaven,2016,6.7
Shoalhaven,2017,-
Singleton,2011,3.3
Singleton,2012,-
Singleton,2013,-
Singleton,2014,-
Singleton,2015,-
Singleton,2016,6.1
Singleton,2017,-
Snowy Monaro Regional,2011,3.5
Snowy Monaro Regional,2012,-
Snowy Monaro Regional,2013,-
Snowy Monaro Regional,2014,-
Snowy Monaro Regional,2015,-
Snowy Monaro Regional,2016,3.3
Snowy Monaro Regional,2017,-
Snowy Valleys,2011,5.5
Snowy Valleys,2012,-
Snowy Valleys,2013,-
Snowy Valleys,2014,-
Snowy Valleys,2015,-
Snowy Valleys,2016,5.4
Snowy Valleys,2017,-
Strathfield,2011,6.4
Strathfield,2012,-
Strathfield,2013,-
Strathfield,2014,-
Strathfield,2015,-
Strathfield,2016,7
Strathfield,2017,-
Sutherland Shire,2011,3.5
Sutherland Shire,2012,-
Sutherland Shire,2013,-
Sutherland Shire,2014,-
Sutherland Shire,2015,-
Sutherland Shire,2016,3.5
Sutherland Shire,2017,-
Sydney,2011,5.8
Sydney,2012,-
Sydney,2013,-
Sydney,2014,-
Sydney,2015,-
Sydney,2016,6
Sydney,2017,-
Tamworth Regional,2011,5.8
Tamworth Regional,2012,-
Tamworth Regional,2013,-
Tamworth Regional,2014,-
Tamworth Regional,2015,-
Tamworth Regional,2016,5.8
Tamworth Regional,2017,-
Temora,2011,4.7
Temora,2012,-
Temora,2013,-
Temora,2014,-
Temora,2015,-
Temora,2016,4.9000000000000004
Temora,2017,-
Tenterfield,2011,6.8
Tenterfield,2012,-
Tenterfield,2013,-
Tenterfield,2014,-
Tenterfield,2015,-
Tenterfield,2016,7.8
Tenterfield,2017,-
The Hills Shire,2011,4.0999999999999996
The Hills Shire,2012,-
The Hills Shire,2013,-
The Hills Shire,2014,-
The Hills Shire,2015,-
The Hills Shire,2016,4.5999999999999996
The Hills Shire,2017,-
Tweed,2011,8.3000000000000007
Tweed,2012,-
Tweed,2013,-
Tweed,2014,-
Tweed,2015,-
Tweed,2016,7.1
Tweed,2017,-
Upper Hunter Shire,2011,3.6
Upper Hunter Shire,2012,-
Upper Hunter Shire,2013,-
Upper Hunter Shire,2014,-
Upper Hunter Shire,2015,-
Upper Hunter Shire,2016,4.8
Upper Hunter Shire,2017,-
Upper Lachlan Shire,2011,3
Upper Lachlan Shire,2012,-
Upper Lachlan Shire,2013,-
Upper Lachlan Shire,2014,-
Upper Lachlan Shire,2015,-
Upper Lachlan Shire,2016,3.9
Upper Lachlan Shire,2017,-
Uralla,2011,5
Uralla,2012,-
Uralla,2013,-
Uralla,2014,-
Uralla,2015,-
Uralla,2016,5.2
Uralla,2017,-
Wagga Wagga,2011,5
Wagga Wagga,2012,-
Wagga Wagga,2013,-
Wagga Wagga,2014,-
Wagga Wagga,2015,-
Wagga Wagga,2016,5.5
Wagga Wagga,2017,-
Walcha,2011,3.8
Walcha,2012,-
Walcha,2013,-
Walcha,2014,-
Walcha,2015,-
Walcha,2016,3.2
Walcha,2017,-
Walgett,2011,8
Walgett,2012,-
Walgett,2013,-
Walgett,2014,-
Walgett,2015,-
Walgett,2016,10.6
Walgett,2017,-
Warren,2011,5.6
Warren,2012,-
Warren,2013,-
Warren,2014,-
Warren,2015,-
Warren,2016,7.3
Warren,2017,-
Warrumbungle Shire,2011,7.1
