LGA,YEAR,Median Employee income $
Wingecarribee,2012,39287
Wingecarribee,2013,40678
Wingecarribee,2014,41329
Wingecarribee,2015,42476
Wingecarribee,2016,44251
Wingecarribee,2017,-
Wollondilly,2011,44978
Wollondilly,2012,46618
Wollondilly,2013,48269
Wollondilly,2014,49494
Wollondilly,2015,50894
Wollondilly,2016,52718
Wollondilly,2017,-
Wollongong,2011,43101
Wollongong,2012,44966
Wollongong,2013,45914
Wollongong,2014,47259
Wollongong,2015,48127
Wollongong,2016,50000
Wollongong,2017,-
Woollahra,2011,52607
Woollahra,2012,54999
Woollahra,2013,57312
Woollahra,2014,58951
Woollahra,2015,62000
Woollahra,2016,64623
Woollahra,2017,-
Yass Valley,2011,47655
Yass Valley,2012,50174
Yass Valley,2013,52676
Yass Valley,2014,53529
Yass Valley,2015,55195
Yass Valley,2016,57814
Yass Valley,2017,-
Unincorporated NSW,2011,30100
Unincorporated NSW,2012,28475
Unincorporated NSW,2013,31784
Unincorporated NSW,2014,28858
Unincorporated NSW,2015,30030
Unincorporated NSW,2016,33721
Unincorporated NSW,2017,-
