 Sex, Local Health Districts, year, Drinking frequency, Number of Respondents, Actual estimate (Per cent), LL 95% CI, UL 95% CI
 Persons, Central Coast LHD, 2004-2005, Less than weekly,"1,003",23.6,20.4,26.8
 Persons, Central Coast LHD, 2004-2005, Weekly,"1,003",40.6,36.8,44.3
 Persons, Central Coast LHD, 2004-2005, Daily,"1,003",12.7,10.4,15.1
 Persons, Central Coast LHD, 2005-2006, Never,758,26.7,22.5,30.9
 Persons, Central Coast LHD, 2005-2006, Less than weekly,758,24.8,21,28.5
 Persons, Central Coast LHD, 2005-2006, Weekly,758,36.1,31.9,40.3
 Persons, Central Coast LHD, 2005-2006, Daily,758,12.4,9.9,14.9
 Persons, Central Coast LHD, 2006-2007, Never,608,29.5,24.6,34.5
 Persons, Central Coast LHD, 2006-2007, Less than weekly,608,26.2,21.8,30.5
 Persons, Central Coast LHD, 2006-2007, Weekly,608,32.5,27.9,37.1
 Persons, Central Coast LHD, 2006-2007, Daily,608,11.8,9,14.5
 Persons, Central Coast LHD, 2007-2008, Never,644,25.3,21.4,29.1
 Persons, Central Coast LHD, 2007-2008, Less than weekly,644,25.1,20.5,29.7
 Persons, Central Coast LHD, 2007-2008, Weekly,644,37.9,32.9,42.8
 Persons, Central Coast LHD, 2007-2008, Daily,644,11.8,8.8,14.8
 Persons, Central Coast LHD, 2008-2009, Never,775,23,19.6,26.4
 Persons, Central Coast LHD, 2008-2009, Less than weekly,775,23.8,19.7,28
 Persons, Central Coast LHD, 2008-2009, Weekly,775,38.7,34,43.3
 Persons, Central Coast LHD, 2008-2009, Daily,775,14.5,11.4,17.6
 Persons, Central Coast LHD, 2009-2010, Never,855,26,21.8,30.2
 Persons, Central Coast LHD, 2009-2010, Less than weekly,855,23.2,19.5,27
 Persons, Central Coast LHD, 2009-2010, Weekly,855,37,32.6,41.4
 Persons, Central Coast LHD, 2009-2010, Daily,855,13.8,11.1,16.5
 Persons, Central Coast LHD, 2010-2011, Never,"1,296",25.8,21.8,29.7
 Persons, Central Coast LHD, 2010-2011, Less than weekly,"1,296",24.1,20.7,27.4
 Persons, Central Coast LHD, 2010-2011, Weekly,"1,296",38.4,34.5,42.4
 Persons, Central Coast LHD, 2010-2011, Daily,"1,296",11.7,9.6,13.8
 Persons, Central Coast LHD, 2011-2012, Never,"1,732",25.5,22.5,28.5
 Persons, Central Coast LHD, 2011-2012, Less than weekly,"1,732",26.9,23.5,30.3
 Persons, Central Coast LHD, 2011-2012, Weekly,"1,732",35.9,32.4,39.5
 Persons, Central Coast LHD, 2011-2012, Daily,"1,732",11.7,9.5,13.8
 Persons, Central Coast LHD, 2012-2013, Never,"1,708",25.7,22.7,28.8
 Persons, Central Coast LHD, 2012-2013, Less than weekly,"1,708",29.6,26,33.2
 Persons, Central Coast LHD, 2012-2013, Weekly,"1,708",34.3,30.6,37.9
 Persons, Central Coast LHD, 2012-2013, Daily,"1,708",10.4,8.4,12.5
 Persons, Central Coast LHD, 2013-2014, Never,"1,652",26.8,23.1,30.4
 Persons, Central Coast LHD, 2013-2014, Less than weekly,"1,652",28.7,24.7,32.7
 Persons, Central Coast LHD, 2013-2014, Weekly,"1,652",36.2,32,40.3
 Persons, Central Coast LHD, 2013-2014, Daily,"1,652",8.3,6.6,10.1
 Persons, Central Coast LHD, 2014-2015, Never,"1,671",28.6,24.5,32.7
 Persons, Central Coast LHD, 2014-2015, Less than weekly,"1,671",25.4,20.8,30
 Persons, Central Coast LHD, 2014-2015, Weekly,"1,671",39,34.2,43.8
 Persons, Central Coast LHD, 2014-2015, Daily,"1,671",7,5.4,8.6
 Persons, Central Coast LHD, 2015-2016, Never,"1,741",29.2,25.1,33.3
 Persons, Central Coast LHD, 2015-2016, Less than weekly,"1,741",23.1,18.8,27.4
 Persons, Central Coast LHD, 2015-2016, Weekly,"1,741",39.1,34.3,44
 Persons, Central Coast LHD, 2015-2016, Daily,"1,741",8.5,6.7,10.4
 Persons, Central Coast LHD, 2016-2017, Never,"1,748",27.7,23.6,31.9
 Persons, Central Coast LHD, 2016-2017, Less than weekly,"1,748",27,22.8,31.1
 Persons, Central Coast LHD, 2016-2017, Weekly,"1,748",34.3,29.8,38.8
 Persons, Central Coast LHD, 2016-2017, Daily,"1,748",11,8.8,13.2
 Persons, Hunter New England LHD, 2002-2003, Never,"3,548",24.1,22.4,25.8
 Persons, Hunter New England LHD, 2002-2003, Less than weekly,"3,548",26.4,24.5,28.3
 Persons, Hunter New England LHD, 2002-2003, Weekly,"3,548",37.1,35.1,39.1
 Persons, Hunter New England LHD, 2002-2003, Daily,"3,548",12.4,11.1,13.7
 Persons, Hunter New England LHD, 2003-2004, Never,"3,225",25.2,23.4,26.9
 Persons, Hunter New England LHD, 2003-2004, Less than weekly,"3,225",24.8,23,26.6
 Persons, Hunter New England LHD, 2003-2004, Weekly,"3,225",37.4,35.4,39.5
 Persons, Hunter New England LHD, 2003-2004, Daily,"3,225",12.6,11.3,13.9
 Persons, Hunter New England LHD, 2004-2005, Never,"2,921",28.1,26.3,29.9
 Persons, Hunter New England LHD, 2004-2005, Less than weekly,"2,921",24.2,22.4,26.1
 Persons, Hunter New England LHD, 2004-2005, Weekly,"2,921",35.6,33.5,37.6
 Persons, Hunter New England LHD, 2004-2005, Daily,"2,921",12.1,10.8,13.4
 Persons, Hunter New England LHD, 2005-2006, Never,"2,608",30.7,28.7,32.8
 Persons, Hunter New England LHD, 2005-2006, Less than weekly,"2,608",21.6,19.6,23.5
 Persons, Hunter New England LHD, 2005-2006, Weekly,"2,608",36,33.7,38.2
 Persons, Hunter New England LHD, 2005-2006, Daily,"2,608",11.8,10.4,13.1
 Persons, Hunter New England LHD, 2006-2007, Never,"2,011",31.8,29.5,34.2
 Persons, Hunter New England LHD, 2006-2007, Less than weekly,"2,011",20.6,18.4,22.8
 Persons, Hunter New England LHD, 2006-2007, Weekly,"2,011",36.6,34,39.3
 Persons, Hunter New England LHD, 2006-2007, Daily,"2,011",10.9,9.4,12.5
 Persons, Hunter New England LHD, 2007-2008, Never,"1,998",30.5,28.1,32.9
 Persons, Hunter New England LHD, 2007-2008, Less than weekly,"1,998",22.4,20.1,24.6
 Persons, Hunter New England LHD, 2007-2008, Weekly,"1,998",35.4,32.8,38
 Persons, Hunter New England LHD, 2007-2008, Daily,"1,998",11.7,10.1,13.4
 Persons, Hunter New England LHD, 2008-2009, Never,"2,367",30.1,28,32.3
 Persons, Hunter New England LHD, 2008-2009, Less than weekly,"2,367",21.9,19.9,23.9
 Persons, Hunter New England LHD, 2008-2009, Weekly,"2,367",35.4,33.1,37.8
 Persons, Hunter New England LHD, 2008-2009, Daily,"2,367",12.5,11.1,14
 Persons, Hunter New England LHD, 2009-2010, Never,"2,546",31,28.8,33.2
 Persons, Hunter New England LHD, 2009-2010, Less than weekly,"2,546",22.3,20.2,24.4
 Persons, Hunter New England LHD, 2009-2010, Weekly,"2,546",34.4,32,36.7
 Persons, Hunter New England LHD, 2009-2010, Daily,"2,546",12.3,10.9,13.7
 Persons, Hunter New England LHD, 2010-2011, Never,"1,979",29.8,26.9,32.6
 Persons, Hunter New England LHD, 2010-2011, Less than weekly,"1,979",25,22.1,27.9
 Persons, Hunter New England LHD, 2010-2011, Weekly,"1,979",33.1,30.2,35.9
 Persons, Hunter New England LHD, 2010-2011, Daily,"1,979",12.1,10.5,13.8
 Persons, Hunter New England LHD, 2011-2012, Never,"1,700",25.2,21.6,28.7
 Persons, Hunter New England LHD, 2011-2012, Less than weekly,"1,700",27.8,23.6,32
 Persons, Hunter New England LHD, 2011-2012, Weekly,"1,700",35.3,31,39.5
 Persons, Hunter New England LHD, 2011-2012, Daily,"1,700",11.7,8.7,14.7
 Persons, Hunter New England LHD, 2012-2013, Never,"1,885",25.6,22.4,28.9
 Persons, Hunter New England LHD, 2012-2013, Less than weekly,"1,885",28.4,24.5,32.3
 Persons, Hunter New England LHD, 2012-2013, Weekly,"1,885",35,31,39
 Persons, Hunter New England LHD, 2012-2013, Daily,"1,885",11,8.1,14
 Persons, Hunter New England LHD, 2013-2014, Never,"1,927",28.5,25.8,31.2
 Persons, Hunter New England LHD, 2013-2014, Less than weekly,"1,927",27.4,24.7,30.1
 Persons, Hunter New England LHD, 2013-2014, Weekly,"1,927",34.7,31.9,37.5
 Persons, Hunter New England LHD, 2013-2014, Daily,"1,927",9.4,7.7,11.1
 Persons, Hunter New England LHD, 2014-2015, Never,"1,903",28,24.8,31.3
 Persons, Hunter New England LHD, 2014-2015, Less than weekly,"1,903",25.8,22.7,28.8
 Persons, Hunter New England LHD, 2014-2015, Weekly,"1,903",37.6,34.1,41.1
 Persons, Hunter New England LHD, 2014-2015, Daily,"1,903",8.6,6.4,10.7
 Persons, Hunter New England LHD, 2015-2016, Never,"1,817",27.7,24.5,31
 Persons, Hunter New England LHD, 2015-2016, Less than weekly,"1,817",24.3,21.4,27.3
 Persons, Hunter New England LHD, 2015-2016, Weekly,"1,817",39.6,36,43.2
 Persons, Hunter New England LHD, 2015-2016, Daily,"1,817",8.3,6.2,10.4
 Persons, Hunter New England LHD, 2016-2017, Never,"1,781",26.4,23.8,29.1
 Persons, Hunter New England LHD, 2016-2017, Less than weekly,"1,781",25,22.4,27.7
 Persons, Hunter New England LHD, 2016-2017, Weekly,"1,781",39.8,36.8,42.8
 Persons, Hunter New England LHD, 2016-2017, Daily,"1,781",8.8,7.2,10.3
 Persons, Northern NSW LHD, 2002-2003, Never,"1,611",23.5,21.2,25.8
 Persons, Northern NSW LHD, 2002-2003, Less than weekly,"1,611",25,22.5,27.5
 Persons, Northern NSW LHD, 2002-2003, Weekly,"1,611",37.7,34.9,40.4
 Persons, Northern NSW LHD, 2002-2003, Daily,"1,611",13.9,12.1,15.6
 Persons, Northern NSW LHD, 2003-2004, Never,"1,528",24,21.7,26.4
 Persons, Northern NSW LHD, 2003-2004, Less than weekly,"1,528",22.3,19.9,24.7
 Persons, Northern NSW LHD, 2003-2004, Weekly,"1,528",37.2,34.4,39.9
 Persons, Northern NSW LHD, 2003-2004, Daily,"1,528",16.5,14.5,18.4
 Persons, Northern NSW LHD, 2004-2005, Never,"1,623",27.6,25.1,30.1
 Persons, Northern NSW LHD, 2004-2005, Less than weekly,"1,623",20.5,18.2,22.9
 Persons, Northern NSW LHD, 2004-2005, Weekly,"1,623",36.9,34.1,39.6
 Persons, Northern NSW LHD, 2004-2005, Daily,"1,623",15,13.2,16.9
 Persons, Northern NSW LHD, 2005-2006, Never,"1,492",28.8,26.2,31.4
 Persons, Northern NSW LHD, 2005-2006, Less than weekly,"1,492",19.5,17,21.9
 Persons, Northern NSW LHD, 2005-2006, Weekly,"1,492",38.2,35.1,41.3
 Persons, Northern NSW LHD, 2005-2006, Daily,"1,492",13.5,11.5,15.5
 Persons, Northern NSW LHD, 2006-2007, Never,"1,119",27.7,24.7,30.8
 Persons, Northern NSW LHD, 2006-2007, Less than weekly,"1,119",17.7,14.9,20.5
 Persons, Northern NSW LHD, 2006-2007, Weekly,"1,119",40.5,36.9,44.1
 Persons, Northern NSW LHD, 2006-2007, Daily,"1,119",14.1,11.6,16.6
 Persons, Northern NSW LHD, 2007-2008, Never,"1,152",27.5,24.5,30.6
 Persons, Northern NSW LHD, 2007-2008, Less than weekly,"1,152",19.8,16.9,22.7
 Persons, Northern NSW LHD, 2007-2008, Weekly,"1,152",38.3,34.8,41.8
 Persons, Northern NSW LHD, 2007-2008, Daily,"1,152",14.4,11.9,17
 Persons, Northern NSW LHD, 2008-2009, Never,"1,440",29.6,26.7,32.4
 Persons, Northern NSW LHD, 2008-2009, Less than weekly,"1,440",19.5,16.9,22.1
 Persons, Northern NSW LHD, 2008-2009, Weekly,"1,440",37.6,34.6,40.7
 Persons, Northern NSW LHD, 2008-2009, Daily,"1,440",13.3,11.3,15.4
 Persons, Northern NSW LHD, 2009-2010, Never,"1,675",31.9,29.2,34.6
 Persons, Northern NSW LHD, 2009-2010, Less than weekly,"1,675",18.2,15.9,20.5
 Persons, Northern NSW LHD, 2009-2010, Weekly,"1,675",37.4,34.6,40.2
 Persons, Northern NSW LHD, 2009-2010, Daily,"1,675",12.5,10.8,14.1
 Persons, Northern NSW LHD, 2010-2011, Never,"1,658",29.1,26.4,31.7
 Persons, Northern NSW LHD, 2010-2011, Less than weekly,"1,658",22.3,19.6,25
 Persons, Northern NSW LHD, 2010-2011, Weekly,"1,658",36.7,33.7,39.7
 Persons, Northern NSW LHD, 2010-2011, Daily,"1,658",11.9,10.2,13.6
 Persons, Northern NSW LHD, 2011-2012, Never,"1,635",25.3,22.5,28.2
 Persons, Northern NSW LHD, 2011-2012, Less than weekly,"1,635",26.6,23.4,29.8
 Persons, Northern NSW LHD, 2011-2012, Weekly,"1,635",35.3,32,38.6
 Persons, Northern NSW LHD, 2011-2012, Daily,"1,635",12.8,10.7,14.8
 Persons, Northern NSW LHD, 2012-2013, Never,"1,617",25.5,22.4,28.6
 Persons, Northern NSW LHD, 2012-2013, Less than weekly,"1,617",27,23.3,30.8
 Persons, Northern NSW LHD, 2012-2013, Weekly,"1,617",33.3,29.8,36.8
 Persons, Northern NSW LHD, 2012-2013, Daily,"1,617",14.1,11.5,16.7
 Persons, Northern NSW LHD, 2013-2014, Never,"1,586",26,22.6,29.3
 Persons, Northern NSW LHD, 2013-2014, Less than weekly,"1,586",25.7,21.5,29.9
 Persons, Northern NSW LHD, 2013-2014, Weekly,"1,586",36.1,32,40.2
 Persons, Northern NSW LHD, 2013-2014, Daily,"1,586",12.2,9.7,14.7
 Persons, Northern NSW LHD, 2014-2015, Never,"1,634",25.6,22,29.1
 Persons, Northern NSW LHD, 2014-2015, Less than weekly,"1,634",24.4,20.1,28.6
 Persons, Northern NSW LHD, 2014-2015, Weekly,"1,634",38.3,33.7,42.8
 Persons, Northern NSW LHD, 2014-2015, Daily,"1,634",11.8,8.9,14.6
 Persons, Northern NSW LHD, 2015-2016, Never,"1,750",23.4,19.5,27.4
 Persons, Northern NSW LHD, 2015-2016, Less than weekly,"1,750",24.3,20,28.6
 Persons, Northern NSW LHD, 2015-2016, Weekly,"1,750",40,35.1,44.9
 Persons, Northern NSW LHD, 2015-2016, Daily,"1,750",12.2,9.2,15.3
 Persons, Northern NSW LHD, 2016-2017, Never,"1,768",21.1,17.2,24.9
 Persons, Northern NSW LHD, 2016-2017, Less than weekly,"1,768",24.8,20.5,29.2
 Persons, Northern NSW LHD, 2016-2017, Weekly,"1,768",42.3,37.5,47.2
 Persons, Northern NSW LHD, 2016-2017, Daily,"1,768",11.8,9.2,14.3
 Persons, Mid North Coast LHD, 2002-2003, Never,"1,109",22.9,20.2,25.5
 Persons, Mid North Coast LHD, 2002-2003, Less than weekly,"1,109",23.3,20.2,26.3
 Persons, Mid North Coast LHD, 2002-2003, Weekly,"1,109",37,33.5,40.4
 Persons, Mid North Coast LHD, 2002-2003, Daily,"1,109",16.9,14.4,19.4
 Persons, Mid North Coast LHD, 2003-2004, Never,"1,008",23.8,20.7,26.9
 Persons, Mid North Coast LHD, 2003-2004, Less than weekly,"1,008",22.3,19.2,25.4
 Persons, Mid North Coast LHD, 2003-2004, Weekly,"1,008",38.6,34.9,42.3
 Persons, Mid North Coast LHD, 2003-2004, Daily,"1,008",15.3,12.8,17.7
 Persons, Mid North Coast LHD, 2004-2005, Never,"1,130",28.2,25,31.3
 Persons, Mid North Coast LHD, 2004-2005, Less than weekly,"1,130",21.6,18.6,24.6
 Persons, Mid North Coast LHD, 2004-2005, Weekly,"1,130",36.9,33.5,40.4
 Persons, Mid North Coast LHD, 2004-2005, Daily,"1,130",13.3,11.1,15.6
 Persons, Mid North Coast LHD, 2005-2006, Never,"1,137",28.8,25.7,31.9
 Persons, Mid North Coast LHD, 2005-2006, Less than weekly,"1,137",20.4,17.4,23.4
 Persons, Mid North Coast LHD, 2005-2006, Weekly,"1,137",35.4,31.8,38.9
 Persons, Mid North Coast LHD, 2005-2006, Daily,"1,137",15.4,12.7,18.1
 Persons, Mid North Coast LHD, 2006-2007, Never,862,27.2,23.7,30.7
 Persons, Mid North Coast LHD, 2006-2007, Less than weekly,862,19.7,16.2,23.1
 Persons, Mid North Coast LHD, 2006-2007, Weekly,862,37,32.9,41.2
 Persons, Mid North Coast LHD, 2006-2007, Daily,862,16.1,13,19.2
 Persons, Mid North Coast LHD, 2007-2008, Never,919,28.6,25.1,32.1
 Persons, Mid North Coast LHD, 2007-2008, Less than weekly,919,19.2,15.9,22.5
 Persons, Mid North Coast LHD, 2007-2008, Weekly,919,37.6,33.6,41.7
 Persons, Mid North Coast LHD, 2007-2008, Daily,919,14.6,12,17.1
 Persons, Mid North Coast LHD, 2008-2009, Never,"1,106",30,26.6,33.4
 Persons, Mid North Coast LHD, 2008-2009, Less than weekly,"1,106",19.8,16.8,22.8
 Persons, Mid North Coast LHD, 2008-2009, Weekly,"1,106",36.1,32,40.1
 Persons, Mid North Coast LHD, 2008-2009, Daily,"1,106",14.2,11.8,16.5
 Persons, Mid North Coast LHD, 2009-2010, Never,"1,196",28.8,25.6,32
 Persons, Mid North Coast LHD, 2009-2010, Less than weekly,"1,196",21.7,18.7,24.8
 Persons, Mid North Coast LHD, 2009-2010, Weekly,"1,196",36.9,33.2,40.7
 Persons, Mid North Coast LHD, 2009-2010, Daily,"1,196",12.6,10.5,14.7
 Persons, Mid North Coast LHD, 2010-2011, Never,"1,465",26,23.2,28.9
 Persons, Mid North Coast LHD, 2010-2011, Less than weekly,"1,465",23.9,20.8,27
 Persons, Mid North Coast LHD, 2010-2011, Weekly,"1,465",36.7,33.4,40.1
 Persons, Mid North Coast LHD, 2010-2011, Daily,"1,465",13.3,11.2,15.5
 Persons, Mid North Coast LHD, 2011-2012, Never,"1,765",28.5,25.1,31.9
 Persons, Mid North Coast LHD, 2011-2012, Less than weekly,"1,765",21,18.1,23.9
 Persons, Mid North Coast LHD, 2011-2012, Weekly,"1,765",36.5,32.9,40.2
 Persons, Mid North Coast LHD, 2011-2012, Daily,"1,765",14,11.7,16.4
 Persons, Mid North Coast LHD, 2012-2013, Never,"1,675",35.3,31.1,39.6
 Persons, Mid North Coast LHD, 2012-2013, Less than weekly,"1,675",16.9,14.2,19.6
 Persons, Mid North Coast LHD, 2012-2013, Weekly,"1,675",34,29.9,38.1
 Persons, Mid North Coast LHD, 2012-2013, Daily,"1,675",13.8,10.7,16.9
 Persons, Mid North Coast LHD, 2013-2014, Never,"1,611",35.2,30.9,39.6
 Persons, Mid North Coast LHD, 2013-2014, Less than weekly,"1,611",19.7,16.3,23.2
 Persons, Mid North Coast LHD, 2013-2014, Weekly,"1,611",31.4,27.2,35.6
 Persons, Mid North Coast LHD, 2013-2014, Daily,"1,611",13.6,10.2,17
 Persons, Mid North Coast LHD, 2014-2015, Never,"1,698",30.1,24.5,35.7
 Persons, Mid North Coast LHD, 2014-2015, Less than weekly,"1,698",20.1,16.2,23.9
 Persons, Mid North Coast LHD, 2014-2015, Weekly,"1,698",36.2,31,41.5
 Persons, Mid North Coast LHD, 2014-2015, Daily,"1,698",13.6,8.8,18.4
 Persons, Mid North Coast LHD, 2015-2016, Never,"1,780",27.1,21.6,32.5
 Persons, Mid North Coast LHD, 2015-2016, Less than weekly,"1,780",19.6,15.1,24.1
 Persons, Mid North Coast LHD, 2015-2016, Weekly,"1,780",40.6,35,46.2
 Persons, Mid North Coast LHD, 2015-2016, Daily,"1,780",12.8,8.1,17.4
 Persons, Mid North Coast LHD, 2016-2017, Never,"1,767",25.4,21.6,29.2
 Persons, Mid North Coast LHD, 2016-2017, Less than weekly,"1,767",23.3,18.5,28.1
 Persons, Mid North Coast LHD, 2016-2017, Weekly,"1,767",37.7,32.8,42.7
 Persons, Mid North Coast LHD, 2016-2017, Daily,"1,767",13.6,10.2,17
 Persons, Southern NSW LHD, 2002-2003, Never,"1,454",21,18.5,23.4
 Persons, Southern NSW LHD, 2002-2003, Less than weekly,"1,454",27.2,24.4,30
 Persons, Southern NSW LHD, 2002-2003, Weekly,"1,454",34.8,32,37.7
 Persons, Southern NSW LHD, 2002-2003, Daily,"1,454",17,14.9,19.1
 Persons, Southern NSW LHD, 2003-2004, Never,"1,160",21.9,19.2,24.6
 Persons, Southern NSW LHD, 2003-2004, Less than weekly,"1,160",26.1,23.1,29.1
 Persons, Southern NSW LHD, 2003-2004, Weekly,"1,160",35.4,32.3,38.6
 Persons, Southern NSW LHD, 2003-2004, Daily,"1,160",16.6,14.3,18.9
 Persons, Southern NSW LHD, 2004-2005, Never,"1,082",25.7,22.7,28.6
 Persons, Southern NSW LHD, 2004-2005, Less than weekly,"1,082",22.1,19,25.1
 Persons, Southern NSW LHD, 2004-2005, Weekly,"1,082",39.3,35.7,42.9
 Persons, Southern NSW LHD, 2004-2005, Daily,"1,082",13,10.9,15
 Persons, Southern NSW LHD, 2005-2006, Never,966,29.5,25.8,33.2
 Persons, Southern NSW LHD, 2005-2006, Less than weekly,966,18.2,14.9,21.4
 Persons, Southern NSW LHD, 2005-2006, Weekly,966,39.8,35.7,43.9
 Persons, Southern NSW LHD, 2005-2006, Daily,966,12.5,10.4,14.7
 Persons, Southern NSW LHD, 2006-2007, Never,757,28,23.5,32.6
 Persons, Southern NSW LHD, 2006-2007, Less than weekly,757,19.9,16.1,23.7
 Persons, Southern NSW LHD, 2006-2007, Weekly,757,37.8,33.3,42.4
 Persons, Southern NSW LHD, 2006-2007, Daily,757,14.3,11.6,17
 Persons, Southern NSW LHD, 2007-2008, Never,804,26.9,22.5,31.3
 Persons, Southern NSW LHD, 2007-2008, Less than weekly,804,21.2,17.6,24.8
 Persons, Southern NSW LHD, 2007-2008, Weekly,804,37.8,33.4,42.2
 Persons, Southern NSW LHD, 2007-2008, Daily,804,14.1,11.2,17
 Persons, Southern NSW LHD, 2008-2009, Never,958,26.2,22.6,29.8
 Persons, Southern NSW LHD, 2008-2009, Less than weekly,958,21.3,17.9,24.7
 Persons, Southern NSW LHD, 2008-2009, Weekly,958,38,33.9,42
 Persons, Southern NSW LHD, 2008-2009, Daily,958,14.5,11.8,17.2
 Persons, Southern NSW LHD, 2009-2010, Never,"1,020",26.5,22.8,30.1
 Persons, Southern NSW LHD, 2009-2010, Less than weekly,"1,020",22.1,18.5,25.7
 Persons, Southern NSW LHD, 2009-2010, Weekly,"1,020",36.9,32.8,40.9
 Persons, Southern NSW LHD, 2009-2010, Daily,"1,020",14.6,12,17.2
 Persons, Southern NSW LHD, 2010-2011, Never,"1,355",24.8,21.4,28.3
 Persons, Southern NSW LHD, 2010-2011, Less than weekly,"1,355",24.4,20.8,28
 Persons, Southern NSW LHD, 2010-2011, Weekly,"1,355",36.1,32.2,39.9
 Persons, Southern NSW LHD, 2010-2011, Daily,"1,355",14.7,12.4,17.1
 Persons, Southern NSW LHD, 2011-2012, Never,"1,702",22.7,19.6,25.8
 Persons, Southern NSW LHD, 2011-2012, Less than weekly,"1,702",26.8,23.1,30.5
 Persons, Southern NSW LHD, 2011-2012, Weekly,"1,702",37.1,32.9,41.3
 Persons, Southern NSW LHD, 2011-2012, Daily,"1,702",13.4,11,15.8
 Persons, Southern NSW LHD, 2012-2013, Never,"1,566",23.8,20,27.6
 Persons, Southern NSW LHD, 2012-2013, Less than weekly,"1,566",27.5,23.2,31.8
 Persons, Southern NSW LHD, 2012-2013, Weekly,"1,566",37.1,32.5,41.7
 Persons, Southern NSW LHD, 2012-2013, Daily,"1,566",11.6,9.2,14
 Persons, Southern NSW LHD, 2013-2014, Never,"1,496",24.9,20.6,29.2
 Persons, Southern NSW LHD, 2013-2014, Less than weekly,"1,496",28.2,23.3,33.1
 Persons, Southern NSW LHD, 2013-2014, Weekly,"1,496",36.9,32.3,41.5
 Persons, Southern NSW LHD, 2013-2014, Daily,"1,496",10,8.1,11.9
 Persons, Southern NSW LHD, 2014-2015, Never,"1,588",25.2,21,29.4
 Persons, Southern NSW LHD, 2014-2015, Less than weekly,"1,588",26.1,21.5,30.8
 Persons, Southern NSW LHD, 2014-2015, Weekly,"1,588",39,34.4,43.6
 Persons, Southern NSW LHD, 2014-2015, Daily,"1,588",9.7,7.7,11.6
 Persons, Southern NSW LHD, 2015-2016, Never,"1,679",25.2,21,29.5
 Persons, Southern NSW LHD, 2015-2016, Less than weekly,"1,679",24.8,20.2,29.5
 Persons, Southern NSW LHD, 2015-2016, Weekly,"1,679",38.5,33.6,43.5
 Persons, Southern NSW LHD, 2015-2016, Daily,"1,679",11.4,8.9,13.9
 Persons, Southern NSW LHD, 2016-2017, Never,"1,709",24.7,20.3,29
 Persons, Southern NSW LHD, 2016-2017, Less than weekly,"1,709",26.1,21.2,31
 Persons, Southern NSW LHD, 2016-2017, Weekly,"1,709",38.7,33.3,44.1
 Persons, Southern NSW LHD, 2016-2017, Daily,"1,709",10.5,8,13
 Persons, Murrumbidgee LHD, 2002-2003, Never,"1,345",22.5,20.1,24.8
 Persons, Murrumbidgee LHD, 2002-2003, Less than weekly,"1,345",26.3,23.6,28.9
 Persons, Murrumbidgee LHD, 2002-2003, Weekly,"1,345",37.8,34.7,40.8
 Persons, Murrumbidgee LHD, 2002-2003, Daily,"1,345",13.5,11.6,15.4
 Persons, Murrumbidgee LHD, 2003-2004, Never,"1,181",22.7,20,25.3
 Persons, Murrumbidgee LHD, 2003-2004, Less than weekly,"1,181",25.9,23,28.8
 Persons, Murrumbidgee LHD, 2003-2004, Weekly,"1,181",37.9,34.7,41.1
 Persons, Murrumbidgee LHD, 2003-2004, Daily,"1,181",13.6,11.5,15.7
 Persons, Murrumbidgee LHD, 2004-2005, Never,"1,243",26,23.3,28.7
 Persons, Murrumbidgee LHD, 2004-2005, Less than weekly,"1,243",25.4,22.4,28.3
 Persons, Murrumbidgee LHD, 2004-2005, Weekly,"1,243",36.4,33.2,39.6
 Persons, Murrumbidgee LHD, 2004-2005, Daily,"1,243",12.2,10.2,14.2
 Persons, Murrumbidgee LHD, 2005-2006, Never,"1,249",26.8,23.9,29.7
 Persons, Murrumbidgee LHD, 2005-2006, Less than weekly,"1,249",22.7,19.6,25.8
 Persons, Murrumbidgee LHD, 2005-2006, Weekly,"1,249",37.3,33.7,40.9
 Persons, Murrumbidgee LHD, 2005-2006, Daily,"1,249",13.2,11,15.4
 Persons, Murrumbidgee LHD, 2006-2007, Never,954,26.7,23.3,30.1
 Persons, Murrumbidgee LHD, 2006-2007, Less than weekly,954,21.4,17.8,24.9
 Persons, Murrumbidgee LHD, 2006-2007, Weekly,954,39,34.8,43.2
 Persons, Murrumbidgee LHD, 2006-2007, Daily,954,13,10.4,15.5
 Persons, Murrumbidgee LHD, 2007-2008, Never,969,26.7,23.3,30.1
 Persons, Murrumbidgee LHD, 2007-2008, Less than weekly,969,21.9,18.5,25.4
 Persons, Murrumbidgee LHD, 2007-2008, Weekly,969,39.7,35.7,43.8
 Persons, Murrumbidgee LHD, 2007-2008, Daily,969,11.6,9.1,14.1
 Persons, Murrumbidgee LHD, 2008-2009, Never,"1,137",25.9,22.8,28.9
 Persons, Murrumbidgee LHD, 2008-2009, Less than weekly,"1,137",23,19.8,26.2
 Persons, Murrumbidgee LHD, 2008-2009, Weekly,"1,137",38.5,34.8,42.2
 Persons, Murrumbidgee LHD, 2008-2009, Daily,"1,137",12.7,10.1,15.2
 Persons, Murrumbidgee LHD, 2009-2010, Never,"1,209",27.3,24.3,30.3
 Persons, Murrumbidgee LHD, 2009-2010, Less than weekly,"1,209",24.2,21,27.5
 Persons, Murrumbidgee LHD, 2009-2010, Weekly,"1,209",36.3,32.8,39.8
 Persons, Murrumbidgee LHD, 2009-2010, Daily,"1,209",12.1,9.8,14.4
 Persons, Murrumbidgee LHD, 2010-2011, Never,"1,402",27.5,24.4,30.6
