 Sex, Local Health Districts, year, Drinking frequency, Number of Respondents, Actual estimate (Per cent), LL 95% CI, UL 95% CI
 Males, Western Sydney LHD, 2004-2005, Daily,580,8.9,6.6,11.3
 Males, Western Sydney LHD, 2005-2006, Never,594,32.5,28.2,36.7
 Males, Western Sydney LHD, 2005-2006, Less than weekly,594,21.4,17.6,25.2
 Males, Western Sydney LHD, 2005-2006, Weekly,594,38.7,34.3,43.1
 Males, Western Sydney LHD, 2005-2006, Daily,594,7.5,5.4,9.6
 Males, Western Sydney LHD, 2006-2007, Never,467,35.5,30.5,40.6
 Males, Western Sydney LHD, 2006-2007, Less than weekly,467,21,16.6,25.4
 Males, Western Sydney LHD, 2006-2007, Weekly,467,36.4,31.4,41.4
 Males, Western Sydney LHD, 2006-2007, Daily,467,7.1,4.8,9.3
 Males, Western Sydney LHD, 2007-2008, Never,498,31.2,26.6,35.9
 Males, Western Sydney LHD, 2007-2008, Less than weekly,498,21.9,17.6,26.1
 Males, Western Sydney LHD, 2007-2008, Weekly,498,38.5,33.5,43.4
 Males, Western Sydney LHD, 2007-2008, Daily,498,8.5,6.1,10.8
 Males, Western Sydney LHD, 2008-2009, Never,590,32.1,27.8,36.4
 Males, Western Sydney LHD, 2008-2009, Less than weekly,590,24.2,20.1,28.4
 Males, Western Sydney LHD, 2008-2009, Weekly,590,35.2,30.7,39.6
 Males, Western Sydney LHD, 2008-2009, Daily,590,8.5,6.1,10.9
 Males, Western Sydney LHD, 2009-2010, Never,641,31.3,27,35.6
 Males, Western Sydney LHD, 2009-2010, Less than weekly,641,31.1,26.6,35.7
 Males, Western Sydney LHD, 2009-2010, Weekly,641,28.6,24.4,32.8
 Males, Western Sydney LHD, 2009-2010, Daily,641,9,6.7,11.3
 Males, Western Sydney LHD, 2010-2011, Never,689,30.2,25.6,34.7
 Males, Western Sydney LHD, 2010-2011, Less than weekly,689,31.3,26.5,36.2
 Males, Western Sydney LHD, 2010-2011, Weekly,689,28.9,24.6,33.3
 Males, Western Sydney LHD, 2010-2011, Daily,689,9.6,7.2,11.9
 Males, Western Sydney LHD, 2011-2012, Never,802,34.7,29.1,40.2
 Males, Western Sydney LHD, 2011-2012, Less than weekly,802,26.5,19.8,33.1
 Males, Western Sydney LHD, 2011-2012, Weekly,802,32,26.7,37.3
 Males, Western Sydney LHD, 2011-2012, Daily,802,6.9,4.8,9
 Males, Western Sydney LHD, 2012-2013, Never,962,37.2,31.9,42.4
 Males, Western Sydney LHD, 2012-2013, Less than weekly,962,26,20,32.1
 Males, Western Sydney LHD, 2012-2013, Weekly,962,30.8,25.9,35.7
